Loan_ID,Customer_ID,Loan_Type,Loan_Amount,EMI_Amount,Start_Date,Tenure_Months
LN20055,CUST10055,Credit Card,136747,11395.58,2023-07-19,12
LN20056,CUST10056,Credit Card,80369,6697.42,2024-03-01,12
LN20057,CUST10057,Consumer Durable,138789,11565.75,2024-01-04,12
LN20058,CUST10058,Credit Card,116364,9697.0,2023-02-06,12
LN20059,CUST10059,Personal Loan,322261,6713.77,2024-11-17,48
LN20060,CUST10060,Credit Card,56224,4685.33,2024-11-25,12
LN20061,CUST10061,Consumer Durable,121682,10140.17,2023-03-16,12
LN20062,CUST10062,Credit Card,10874,906.17,2024-10-29,12
LN20063,CUST10063,Credit Card,143232,11936.0,2024-08-31,12
LN20064,CUST10064,Personal Loan,232836,19403.0,2024-08-15,12
LN20065,CUST10065,Consumer Durable,72599,4033.28,2024-04-21,18
LN20066,CUST10066,Personal Loan,105950,2943.06,2024-04-03,36
LN20067,CUST10067,Credit Card,117954,9829.5,2024-10-16,12
LN20068,CUST10068,Credit Card,145332,12111.0,2023-10-26,12
LN20069,CUST10069,Credit Card,77931,6494.25,2024-11-17,12
LN20070,CUST10070,Consumer Durable,61044,5087.0,2024-04-24,12
LN20071,CUST10071,Personal Loan,421727,17571.96,2023-03-26,24
LN20072,CUST10072,Credit Card,80679,6723.25,2023-11-16,12
LN20073,CUST10073,Consumer Durable,68540,3807.78,2024-04-28,18
LN20074,CUST10074,Credit Card,138729,11560.75,2023-12-12,12
LN20075,CUST10075,Consumer Durable,181261,30210.17,2024-02-04,6
LN20076,CUST10076,Personal Loan,236338,6564.94,2024-04-18,36
LN20077,CUST10077,Consumer Durable,42078,7013.0,2024-08-17,6
LN20078,CUST10078,Consumer Durable,69406,11567.67,2024-07-03,6
LN20079,CUST10079,Consumer Durable,162774,9043.0,2024-07-11,18
LN20080,CUST10080,Consumer Durable,41032,3419.33,2024-08-24,12
LN20081,CUST10081,Credit Card,56382,4698.5,2024-09-11,12
LN20082,CUST10082,Personal Loan,194782,4057.96,2023-04-14,48
LN20083,CUST10083,Consumer Durable,118436,19739.33,2023-10-21,6
LN20084,CUST10084,Personal Loan,287094,5981.12,2024-06-17,48
LN20085,CUST10085,Consumer Durable,91124,15187.33,2023-12-08,6
LN20086,CUST10086,Personal Loan,285105,23758.75,2023-01-31,12
LN20087,CUST10087,Personal Loan,268846,5600.96,2023-06-11,48
LN20088,CUST10088,Credit Card,144544,12045.33,2023-12-17,12
LN20089,CUST10089,Credit Card,15788,1315.67,2024-06-06,12
LN20090,CUST10090,Credit Card,90817,7568.08,2023-03-06,12
LN20091,CUST10091,Personal Loan,108930,2269.38,2024-05-21,48
LN20092,CUST10092,Personal Loan,486932,20288.83,2023-05-15,24
LN20093,CUST10093,Personal Loan,273779,5703.73,2023-12-16,48
LN20094,CUST10094,Credit Card,147233,12269.42,2024-04-23,12
LN20095,CUST10095,Consumer Durable,121372,6742.89,2023-10-06,18
LN20096,CUST10096,Consumer Durable,120827,10068.92,2024-07-08,12
LN20097,CUST10097,Personal Loan,388702,10797.28,2024-09-21,36
LN20098,CUST10098,Credit Card,114251,9520.92,2024-07-29,12
LN20099,CUST10099,Credit Card,51180,4265.0,2024-04-10,12
LN20100,CUST10100,Personal Loan,473354,13148.72,2024-01-29,36
LN20101,CUST10101,Personal Loan,132852,3690.33,2023-11-02,36
LN20102,CUST10102,Credit Card,19673,1639.42,2024-04-07,12
LN20103,CUST10103,Consumer Durable,194475,16206.25,2024-08-01,12
LN20104,CUST10104,Consumer Durable,198640,11035.56,2023-08-28,18
LN20105,CUST10105,Credit Card,43813,3651.08,2023-11-24,12
LN20106,CUST10106,Credit Card,149636,12469.67,2024-08-26,12
LN20107,CUST10107,Personal Loan,261488,5447.67,2024-11-18,48
LN20108,CUST10108,Personal Loan,224530,6236.94,2024-06-13,36
LN20109,CUST10109,Personal Loan,486831,40569.25,2023-09-20,12
LN20110,CUST10110,Personal Loan,72708,1514.75,2024-01-31,48
LN20111,CUST10111,Consumer Durable,73729,6144.08,2023-04-06,12
LN20112,CUST10112,Credit Card,81765,6813.75,2023-05-27,12
LN20113,CUST10113,Credit Card,138535,11544.58,2024-08-16,12
LN20114,CUST10114,Consumer Durable,59159,4929.92,2023-04-16,12
LN20115,CUST10115,Consumer Durable,159810,8878.33,2024-02-27,18
LN20116,CUST10116,Consumer Durable,62813,5234.42,2024-07-22,12
LN20117,CUST10117,Credit Card,56449,4704.08,2024-08-23,12
LN20118,CUST10118,Personal Loan,483792,13438.67,2024-07-06,36
LN20119,CUST10119,Personal Loan,201580,4199.58,2023-11-07,48
LN20120,CUST10120,Credit Card,130687,10890.58,2023-09-10,12
LN20121,CUST10121,Credit Card,77298,6441.5,2023-10-18,12
LN20122,CUST10122,Personal Loan,491765,10245.1,2023-12-27,48
LN20123,CUST10123,Personal Loan,156909,13075.75,2023-02-03,12
LN20124,CUST10124,Personal Loan,464676,38723.0,2023-04-25,12
LN20125,CUST10125,Personal Loan,57571,1199.4,2023-04-27,48
LN20126,CUST10126,Credit Card,67383,5615.25,2023-03-23,12
LN20127,CUST10127,Personal Loan,87896,7324.67,2023-07-21,12
LN20128,CUST10128,Credit Card,119163,9930.25,2024-04-13,12
LN20129,CUST10129,Credit Card,133632,11136.0,2023-03-06,12
LN20130,CUST10130,Personal Loan,425985,17749.38,2023-08-19,24
LN20131,CUST10131,Consumer Durable,49799,8299.83,2023-09-23,6
LN20132,CUST10132,Personal Loan,343919,7164.98,2023-01-10,48
LN20133,CUST10133,Personal Loan,350002,7291.71,2024-11-02,48
LN20134,CUST10134,Credit Card,74995,6249.58,2023-08-28,12
LN20135,CUST10135,Personal Loan,258983,5395.48,2023-05-26,48
LN20136,CUST10136,Personal Loan,244470,10186.25,2024-01-11,24
LN20137,CUST10137,Credit Card,50161,4180.08,2023-05-11,12
LN20138,CUST10138,Consumer Durable,166485,13873.75,2023-12-08,12
LN20139,CUST10139,Personal Loan,227294,9470.58,2024-10-29,24
LN20140,CUST10140,Consumer Durable,142389,23731.5,2024-06-08,6
LN20141,CUST10141,Personal Loan,270512,22542.67,2023-12-27,12
LN20142,CUST10142,Consumer Durable,42814,3567.83,2024-07-27,12
LN20143,CUST10143,Credit Card,118622,9885.17,2023-04-27,12
LN20144,CUST10144,Consumer Durable,48308,2683.78,2023-12-26,18
LN20145,CUST10145,Consumer Durable,112335,6240.83,2023-03-01,18
LN20146,CUST10146,Personal Loan,346232,9617.56,2023-02-08,36
LN20147,CUST10147,Credit Card,49754,4146.17,2024-10-07,12
LN20148,CUST10148,Consumer Durable,174427,9690.39,2024-06-23,18
LN20149,CUST10149,Personal Loan,457524,12709.0,2023-02-04,36
LN20150,CUST10150,Credit Card,49539,4128.25,2024-01-16,12
LN20151,CUST10151,Consumer Durable,43026,3585.5,2024-09-12,12
LN20152,CUST10152,Credit Card,79563,6630.25,2024-02-23,12
LN20153,CUST10153,Personal Loan,448020,12445.0,2024-08-10,36
LN20154,CUST10154,Credit Card,92064,7672.0,2023-08-24,12
LN20155,CUST10155,Credit Card,73657,6138.08,2024-04-13,12
LN20156,CUST10156,Credit Card,96902,8075.17,2023-05-09,12
LN20157,CUST10157,Credit Card,58892,4907.67,2024-10-29,12
LN20158,CUST10158,Credit Card,122960,10246.67,2023-01-14,12
LN20159,CUST10159,Consumer Durable,149282,12440.17,2024-05-15,12
LN20160,CUST10160,Consumer Durable,187743,31290.5,2024-05-12,6
LN20161,CUST10161,Consumer Durable,37696,6282.67,2024-04-19,6
LN20162,CUST10162,Credit Card,64587,5382.25,2023-07-29,12
LN20163,CUST10163,Credit Card,109265,9105.42,2023-04-14,12
LN20164,CUST10164,Consumer Durable,187060,10392.22,2023-03-08,18
LN20165,CUST10165,Credit Card,27344,2278.67,2023-12-11,12
LN20166,CUST10166,Consumer Durable,92225,7685.42,2023-05-29,12
LN20167,CUST10167,Consumer Durable,84493,14082.17,2023-07-04,6
LN20168,CUST10168,Consumer Durable,98955,5497.5,2024-01-07,18
LN20169,CUST10169,Credit Card,64848,5404.0,2023-01-21,12
LN20170,CUST10170,Personal Loan,87816,3659.0,2024-02-16,24
LN20171,CUST10171,Personal Loan,279566,5824.29,2023-01-29,48
LN20172,CUST10172,Personal Loan,227286,6313.5,2024-01-12,36
LN20173,CUST10173,Credit Card,30217,2518.08,2024-02-23,12
LN20174,CUST10174,Personal Loan,350793,29232.75,2023-03-26,12
LN20175,CUST10175,Credit Card,82710,6892.5,2024-09-16,12
LN20176,CUST10176,Consumer Durable,69794,3877.44,2023-06-29,18
LN20177,CUST10177,Personal Loan,132989,2770.6,2023-04-07,48
LN20178,CUST10178,Credit Card,101122,8426.83,2023-12-29,12
LN20179,CUST10179,Credit Card,136536,11378.0,2023-04-26,12
LN20180,CUST10180,Credit Card,99951,8329.25,2024-07-02,12
LN20181,CUST10181,Credit Card,125273,10439.42,2023-02-20,12
LN20182,CUST10182,Personal Loan,353293,7360.27,2024-06-23,48
LN20183,CUST10183,Consumer Durable,42410,7068.33,2023-02-02,6
LN20184,CUST10184,Consumer Durable,21857,1214.28,2024-09-07,18
LN20185,CUST10185,Personal Loan,450717,12519.92,2023-07-25,36
LN20186,CUST10186,Personal Loan,311407,25950.58,2024-01-27,12
LN20187,CUST10187,Personal Loan,483644,10075.92,2024-07-09,48
LN20188,CUST10188,Credit Card,58365,4863.75,2024-07-22,12
LN20189,CUST10189,Consumer Durable,60401,3355.61,2023-04-10,18
LN20190,CUST10190,Credit Card,85444,7120.33,2024-05-11,12
LN20191,CUST10191,Credit Card,72113,6009.42,2023-08-16,12
LN20192,CUST10192,Credit Card,126076,10506.33,2024-03-16,12
LN20193,CUST10193,Personal Loan,107846,2246.79,2024-08-23,48
LN20194,CUST10194,Consumer Durable,124591,20765.17,2024-02-22,6
LN20195,CUST10195,Consumer Durable,130888,10907.33,2024-01-21,12
LN20196,CUST10196,Credit Card,37607,3133.92,2024-01-01,12
LN20197,CUST10197,Credit Card,37884,3157.0,2024-06-15,12
LN20198,CUST10198,Credit Card,41426,3452.17,2024-07-29,12
LN20199,CUST10199,Personal Loan,73875,6156.25,2024-03-28,12
LN20200,CUST10200,Consumer Durable,149605,24934.17,2024-05-12,6
LN20201,CUST10201,Credit Card,138419,11534.92,2023-12-01,12
LN20202,CUST10202,Credit Card,92425,7702.08,2024-08-27,12
LN20203,CUST10203,Credit Card,32309,2692.42,2024-11-23,12
LN20204,CUST10204,Consumer Durable,27538,4589.67,2023-06-22,6
LN20205,CUST10205,Credit Card,74478,6206.5,2023-11-02,12
LN20206,CUST10206,Consumer Durable,126427,10535.58,2023-11-06,12
LN20207,CUST10207,Consumer Durable,196260,10903.33,2023-12-01,18
LN20208,CUST10208,Personal Loan,335060,9307.22,2023-03-31,36
LN20209,CUST10209,Personal Loan,250999,10458.29,2024-03-07,24
LN20210,CUST10210,Personal Loan,90717,3779.88,2024-05-18,24
LN20211,CUST10211,Consumer Durable,118175,6565.28,2023-07-27,18
LN20212,CUST10212,Personal Loan,100723,2098.4,2024-05-05,48
LN20213,CUST10213,Personal Loan,477111,13253.08,2023-12-17,36
LN20214,CUST10214,Credit Card,120519,10043.25,2023-08-26,12
LN20215,CUST10215,Credit Card,64620,5385.0,2023-09-20,12
LN20216,CUST10216,Credit Card,79655,6637.92,2023-09-14,12
LN20217,CUST10217,Personal Loan,418451,17435.46,2023-07-30,24
LN20218,CUST10218,Personal Loan,269017,5604.52,2023-02-11,48
LN20219,CUST10219,Personal Loan,251769,20980.75,2023-07-26,12
LN20220,CUST10220,Credit Card,113619,9468.25,2023-03-11,12
LN20221,CUST10221,Personal Loan,167453,4651.47,2023-07-06,36
LN20222,CUST10222,Personal Loan,378426,15767.75,2023-03-25,24
LN20223,CUST10223,Consumer Durable,17782,1481.83,2023-06-26,12
LN20224,CUST10224,Consumer Durable,137716,22952.67,2023-04-30,6
LN20225,CUST10225,Personal Loan,180769,7532.04,2024-06-10,24
LN20226,CUST10226,Consumer Durable,94842,5269.0,2023-01-24,18
LN20227,CUST10227,Personal Loan,299286,12470.25,2024-02-15,24
LN20228,CUST10228,Personal Loan,52944,4412.0,2024-07-13,12
LN20229,CUST10229,Personal Loan,110454,2301.12,2023-05-28,48
LN20230,CUST10230,Personal Loan,264126,22010.5,2024-11-19,12
LN20231,CUST10231,Consumer Durable,160138,26689.67,2024-08-17,6
LN20232,CUST10232,Credit Card,106230,8852.5,2023-04-21,12
LN20233,CUST10233,Consumer Durable,129651,10804.25,2024-02-02,12
LN20234,CUST10234,Credit Card,137772,11481.0,2023-11-04,12
LN20235,CUST10235,Consumer Durable,181666,15138.83,2023-04-24,12
LN20236,CUST10236,Personal Loan,192023,5333.97,2024-09-30,36
LN20237,CUST10237,Consumer Durable,51052,4254.33,2024-10-10,12
LN20238,CUST10238,Personal Loan,120327,5013.62,2024-04-14,24
LN20239,CUST10239,Credit Card,120362,10030.17,2024-11-26,12
LN20240,CUST10240,Consumer Durable,159039,26506.5,2023-06-18,6
LN20241,CUST10241,Consumer Durable,121406,6744.78,2024-07-18,18
LN20242,CUST10242,Credit Card,55058,4588.17,2023-05-05,12
LN20243,CUST10243,Consumer Durable,165867,9214.83,2023-10-15,18
LN20244,CUST10244,Credit Card,40844,3403.67,2023-03-07,12
LN20245,CUST10245,Personal Loan,253977,7054.92,2023-01-10,36
LN20246,CUST10246,Consumer Durable,199845,11102.5,2023-07-03,18
LN20247,CUST10247,Credit Card,130088,10840.67,2023-06-22,12
LN20248,CUST10248,Consumer Durable,118904,6605.78,2024-03-08,18
LN20249,CUST10249,Credit Card,133840,11153.33,2023-10-21,12
LN20250,CUST10250,Credit Card,120026,10002.17,2023-11-25,12
LN20251,CUST10251,Consumer Durable,147308,8183.78,2024-07-31,18
LN20252,CUST10252,Credit Card,10718,893.17,2023-09-12,12
LN20253,CUST10253,Consumer Durable,186062,31010.33,2023-12-22,6
LN20254,CUST10254,Credit Card,62788,5232.33,2023-09-16,12
LN20255,CUST10255,Consumer Durable,72064,6005.33,2024-10-01,12
LN20256,CUST10256,Consumer Durable,112812,18802.0,2023-08-25,6
LN20257,CUST10257,Personal Loan,272733,5681.94,2023-04-06,48
LN20258,CUST10258,Credit Card,83768,6980.67,2024-01-14,12
LN20259,CUST10259,Personal Loan,170762,7115.08,2023-12-12,24
LN20260,CUST10260,Credit Card,31598,2633.17,2024-05-19,12
LN20261,CUST10261,Credit Card,48768,4064.0,2024-02-27,12
LN20262,CUST10262,Credit Card,35426,2952.17,2024-02-06,12
LN20263,CUST10263,Credit Card,109936,9161.33,2023-07-04,12
LN20264,CUST10264,Personal Loan,477291,39774.25,2023-12-15,12
LN20265,CUST10265,Consumer Durable,125044,20840.67,2023-12-29,6
LN20266,CUST10266,Consumer Durable,168914,9384.11,2024-11-12,18
LN20267,CUST10267,Personal Loan,386290,16095.42,2024-05-19,24
LN20268,CUST10268,Credit Card,48439,4036.58,2023-08-15,12
LN20269,CUST10269,Consumer Durable,30082,1671.22,2023-08-27,18
LN20270,CUST10270,Consumer Durable,187329,10407.17,2023-08-01,18
LN20271,CUST10271,Personal Loan,99379,8281.58,2023-05-30,12
LN20272,CUST10272,Credit Card,76046,6337.17,2023-07-23,12
LN20273,CUST10273,Personal Loan,303681,8435.58,2024-06-29,36
LN20274,CUST10274,Personal Loan,425893,11830.36,2023-05-28,36
LN20275,CUST10275,Personal Loan,134095,11174.58,2023-04-27,12
LN20276,CUST10276,Consumer Durable,155089,8616.06,2023-10-03,18
LN20277,CUST10277,Personal Loan,52402,2183.42,2024-01-04,24
LN20278,CUST10278,Personal Loan,66493,1385.27,2023-10-01,48
LN20279,CUST10279,Personal Loan,440621,12239.47,2024-03-21,36
LN20280,CUST10280,Credit Card,42747,3562.25,2024-05-31,12
LN20281,CUST10281,Credit Card,148235,12352.92,2023-09-20,12
LN20282,CUST10282,Personal Loan,493605,13711.25,2024-02-12,36
LN20283,CUST10283,Personal Loan,283294,5901.96,2023-08-30,48
LN20284,CUST10284,Consumer Durable,159971,26661.83,2023-12-30,6
LN20285,CUST10285,Personal Loan,339207,9422.42,2023-01-06,36
LN20286,CUST10286,Consumer Durable,121922,10160.17,2024-02-09,12
LN20287,CUST10287,Consumer Durable,114368,9530.67,2023-04-27,12
LN20288,CUST10288,Consumer Durable,178358,29726.33,2023-05-09,6
LN20289,CUST10289,Consumer Durable,196806,16400.5,2024-03-28,12
LN20290,CUST10290,Personal Loan,164979,6874.12,2023-08-13,24
LN20291,CUST10291,Consumer Durable,154548,12879.0,2024-04-03,12
LN20292,CUST10292,Credit Card,71354,5946.17,2024-08-26,12
LN20293,CUST10293,Consumer Durable,150246,25041.0,2024-02-07,6
LN20294,CUST10294,Consumer Durable,50100,8350.0,2023-08-08,6
LN20295,CUST10295,Personal Loan,240708,6686.33,2023-03-18,36
LN20296,CUST10296,Credit Card,11329,944.08,2024-08-06,12
LN20297,CUST10297,Personal Loan,239903,9995.96,2023-03-09,24
LN20298,CUST10298,Credit Card,86229,7185.75,2024-09-09,12
LN20299,CUST10299,Consumer Durable,65768,3653.78,2024-04-19,18
LN20300,CUST10300,Consumer Durable,30680,1704.44,2024-01-02,18
LN20301,CUST10301,Personal Loan,296129,24677.42,2024-10-30,12
LN20302,CUST10302,Personal Loan,327958,9109.94,2023-03-12,36
LN20303,CUST10303,Credit Card,139543,11628.58,2023-07-08,12
LN20304,CUST10304,Personal Loan,99316,2069.08,2024-09-22,48
LN20305,CUST10305,Personal Loan,342279,28523.25,2024-11-18,12
LN20306,CUST10306,Personal Loan,138212,11517.67,2023-01-25,12
LN20307,CUST10307,Personal Loan,230777,19231.42,2024-06-18,12
LN20308,CUST10308,Credit Card,145838,12153.17,2023-06-15,12
LN20309,CUST10309,Consumer Durable,74800,6233.33,2024-09-08,12
LN20310,CUST10310,Personal Loan,339573,9432.58,2024-07-27,36
LN20311,CUST10311,Credit Card,122772,10231.0,2024-04-16,12
LN20312,CUST10312,Consumer Durable,86219,14369.83,2024-05-08,6
LN20313,CUST10313,Personal Loan,92220,1921.25,2024-10-17,48
LN20314,CUST10314,Consumer Durable,147938,24656.33,2023-12-17,6
LN20315,CUST10315,Personal Loan,292181,8116.14,2023-08-15,36
LN20316,CUST10316,Personal Loan,55146,4595.5,2023-11-17,12
LN20317,CUST10317,Consumer Durable,73193,4066.28,2024-04-27,18
LN20318,CUST10318,Personal Loan,190327,15860.58,2023-05-02,12
LN20319,CUST10319,Consumer Durable,66789,3710.5,2023-08-27,18
LN20320,CUST10320,Credit Card,131244,10937.0,2023-10-17,12
LN20321,CUST10321,Consumer Durable,123156,10263.0,2023-08-02,12
LN20322,CUST10322,Credit Card,106781,8898.42,2023-06-13,12
LN20323,CUST10323,Consumer Durable,27396,1522.0,2023-12-18,18
LN20324,CUST10324,Consumer Durable,79405,4411.39,2023-02-08,18
LN20325,CUST10325,Credit Card,22075,1839.58,2023-10-02,12
LN20326,CUST10326,Consumer Durable,102694,5705.22,2023-01-13,18
LN20327,CUST10327,Credit Card,128953,10746.08,2023-01-30,12
LN20328,CUST10328,Consumer Durable,56813,3156.28,2024-07-08,18
LN20329,CUST10329,Consumer Durable,70262,11710.33,2023-11-22,6
LN20330,CUST10330,Consumer Durable,175162,14596.83,2024-01-04,12
LN20331,CUST10331,Credit Card,103460,8621.67,2024-10-04,12
LN20332,CUST10332,Personal Loan,118994,9916.17,2023-06-24,12
LN20333,CUST10333,Consumer Durable,120273,6681.83,2024-08-19,18
LN20334,CUST10334,Consumer Durable,55243,3069.06,2023-02-10,18
LN20335,CUST10335,Personal Loan,239493,6652.58,2023-06-15,36
LN20336,CUST10336,Personal Loan,60033,2501.38,2023-03-29,24
LN20337,CUST10337,Credit Card,15827,1318.92,2024-05-22,12
LN20338,CUST10338,Consumer Durable,24098,4016.33,2023-12-17,6
LN20339,CUST10339,Credit Card,31976,2664.67,2024-02-18,12
LN20340,CUST10340,Consumer Durable,81219,4512.17,2023-05-02,18
LN20341,CUST10341,Personal Loan,91365,2537.92,2024-05-30,36
LN20342,CUST10342,Consumer Durable,24554,4092.33,2023-05-13,6
LN20343,CUST10343,Consumer Durable,53568,8928.0,2023-10-19,6
LN20344,CUST10344,Personal Loan,304709,6348.1,2024-07-12,48
LN20345,CUST10345,Personal Loan,68337,1898.25,2024-03-11,36
LN20346,CUST10346,Consumer Durable,81146,4508.11,2023-05-29,18
LN20347,CUST10347,Credit Card,38378,3198.17,2024-01-28,12
LN20348,CUST10348,Consumer Durable,71093,3949.61,2023-04-14,18
LN20349,CUST10349,Personal Loan,337220,9367.22,2024-02-11,36
LN20350,CUST10350,Credit Card,110185,9182.08,2024-11-26,12
LN20351,CUST10351,Credit Card,57862,4821.83,2023-07-17,12
LN20352,CUST10352,Personal Loan,212329,5898.03,2023-09-15,36
LN20353,CUST10353,Credit Card,76872,6406.0,2023-03-30,12
LN20354,CUST10354,Consumer Durable,174127,29021.17,2023-08-01,6
LN20355,CUST10355,Credit Card,87398,7283.17,2024-01-14,12
LN20356,CUST10356,Consumer Durable,95331,15888.5,2023-07-11,6
LN20357,CUST10357,Credit Card,47091,3924.25,2024-02-15,12
LN20358,CUST10358,Personal Loan,337412,14058.83,2023-05-26,24
LN20359,CUST10359,Consumer Durable,95755,5319.72,2024-07-19,18
LN20360,CUST10360,Consumer Durable,67721,5643.42,2024-08-02,12
LN20361,CUST10361,Consumer Durable,185554,10308.56,2024-01-18,18
LN20362,CUST10362,Personal Loan,81636,6803.0,2024-04-11,12
LN20363,CUST10363,Credit Card,27330,2277.5,2023-05-07,12
LN20364,CUST10364,Credit Card,123473,10289.42,2024-04-03,12
LN20365,CUST10365,Personal Loan,257701,7158.36,2024-04-26,36
LN20366,CUST10366,Consumer Durable,64720,5393.33,2023-07-01,12
LN20367,CUST10367,Consumer Durable,42329,2351.61,2024-05-03,18
LN20368,CUST10368,Consumer Durable,142132,7896.22,2023-09-12,18
LN20369,CUST10369,Credit Card,104430,8702.5,2023-01-10,12
LN20370,CUST10370,Consumer Durable,87458,4858.78,2024-09-02,18
LN20371,CUST10371,Personal Loan,248822,6911.72,2024-03-18,36
LN20372,CUST10372,Credit Card,116483,9706.92,2023-02-09,12
LN20373,CUST10373,Personal Loan,301329,8370.25,2023-01-06,36
LN20374,CUST10374,Consumer Durable,114779,9564.92,2024-03-09,12
LN20375,CUST10375,Personal Loan,130391,5432.96,2023-10-03,24
LN20376,CUST10376,Credit Card,43164,3597.0,2024-08-10,12
LN20377,CUST10377,Consumer Durable,194535,16211.25,2024-09-01,12
LN20378,CUST10378,Personal Loan,223624,18635.33,2023-09-26,12
LN20379,CUST10379,Personal Loan,63784,5315.33,2024-05-23,12
LN20380,CUST10380,Consumer Durable,132263,7347.94,2024-07-17,18
LN20381,CUST10381,Consumer Durable,124034,6890.78,2023-01-04,18
LN20382,CUST10382,Personal Loan,370138,15422.42,2024-09-14,24
LN20383,CUST10383,Personal Loan,379116,7898.25,2023-05-06,48
LN20384,CUST10384,Credit Card,121887,10157.25,2023-04-18,12
LN20385,CUST10385,Personal Loan,268766,7465.72,2024-08-30,36
LN20386,CUST10386,Credit Card,89688,7474.0,2023-10-05,12
LN20387,CUST10387,Personal Loan,274313,11429.71,2023-07-26,24
LN20388,CUST10388,Consumer Durable,152147,25357.83,2023-05-18,6
LN20389,CUST10389,Consumer Durable,193636,10757.56,2023-02-25,18
LN20390,CUST10390,Credit Card,46858,3904.83,2023-04-11,12
LN20391,CUST10391,Credit Card,24739,2061.58,2024-06-20,12
LN20392,CUST10392,Personal Loan,102825,2142.19,2023-11-15,48
LN20393,CUST10393,Consumer Durable,69481,3860.06,2023-08-11,18
LN20394,CUST10394,Credit Card,33408,2784.0,2023-06-08,12
LN20395,CUST10395,Consumer Durable,150319,25053.17,2023-08-13,6
LN20396,CUST10396,Personal Loan,291270,8090.83,2024-10-03,36
LN20397,CUST10397,Consumer Durable,151572,25262.0,2024-05-22,6
LN20398,CUST10398,Personal Loan,439701,36641.75,2023-10-18,12
LN20399,CUST10399,Credit Card,67437,5619.75,2024-05-05,12
LN20400,CUST10400,Credit Card,130195,10849.58,2023-12-22,12
