Loan_ID,Agent_ID,Report_Month,Outstanding_Amount,Days_Past_Due,Missed_EMIs,Contact_Response,Recovery_Status,Amount_Recovered
LN20060,AGT106,2026-03-01,18653.87,60,3,Promise To Pay,Partial,5596.16
LN20061,AGT154,2026-03-01,8658.51,0,0,No Answer,Paid,8658.51
LN20062,AGT104,2026-03-01,755.89,0,0,Promise To Pay,Paid,755.89
LN20063,AGT124,2026-03-01,15326.94,0,0,Responsive,Paid,15326.94
LN20064,AGT168,2026-03-01,45866.02,30,2,Promise To Pay,Partial,13759.81
LN20065,AGT169,2026-03-01,16596.43,90,4,Promise To Pay,Partial,4978.93
LN20066,AGT111,2026-03-01,3145.32,0,0,Promise To Pay,Paid,3145.32
LN20067,AGT129,2026-03-01,10423.54,0,0,Promise To Pay,Paid,10423.54
LN20068,AGT135,2026-03-01,15350.61,15,1,Responsive,Paid,15350.61
LN20069,AGT152,2026-03-01,6696.62,15,1,Promise To Pay,Partial,2008.99
LN20070,AGT152,2026-03-01,4632.95,15,1,Responsive,Paid,4632.95
LN20071,AGT127,2026-03-01,19039.2,0,0,Responsive,Paid,19039.2
LN20072,AGT156,2026-03-01,29350.23,90,4,Promise To Pay,Partial,8805.07
LN20073,AGT132,2026-03-01,4302.49,0,0,No Answer,Paid,4302.49
LN20074,AGT170,2026-03-01,9625.43,15,1,Promise To Pay,Partial,2887.63
LN20075,AGT145,2026-03-01,135249.07,90,4,Promise To Pay,Partial,40574.72
LN20076,AGT170,2026-03-01,11893.88,30,2,No Answer,Unpaid,0.0
LN20077,AGT154,2026-03-01,24554.75,60,3,Responsive,Paid,24554.75
LN20078,AGT158,2026-03-01,15429.69,0,0,Responsive,Paid,15429.69
LN20079,AGT139,2026-03-01,15102.29,30,2,Promise To Pay,Partial,4530.69
LN20080,AGT104,2026-03-01,3845.92,0,0,No Answer,Paid,3845.92
LN20081,AGT174,2026-03-01,6938.45,0,0,Responsive,Paid,6938.45
LN20082,AGT161,2026-03-01,5554.07,0,0,No Answer,Paid,5554.07
LN20083,AGT150,2026-03-01,19165.59,0,0,Promise To Pay,Paid,19165.59
LN20084,AGT131,2026-03-01,27603.52,90,4,Responsive,Partial,13801.76
LN20085,AGT162,2026-03-01,14970.86,0,0,No Answer,Paid,14970.86
LN20086,AGT163,2026-03-01,85808.05,90,4,Promise To Pay,Partial,25742.42
LN20087,AGT164,2026-03-01,5164.45,15,1,No Answer,Unpaid,0.0
LN20088,AGT165,2026-03-01,13472.24,0,0,Responsive,Paid,13472.24
LN20089,AGT109,2026-03-01,1092.74,15,1,Responsive,Partial,546.37
LN20090,AGT132,2026-03-01,7228.63,15,1,No Answer,Unpaid,0.0
LN20091,AGT139,2026-03-01,6111.57,60,3,No Answer,Unpaid,0.0
LN20092,AGT172,2026-03-01,47833.6,30,2,No Answer,Unpaid,0.0
LN20093,AGT148,2026-03-01,4580.02,0,0,Responsive,Paid,4580.02
LN20094,AGT156,2026-03-01,36576.39,30,2,Responsive,Paid,36576.39
LN20095,AGT112,2026-03-01,27681.05,60,3,Promise To Pay,Partial,8304.31
LN20096,AGT104,2026-03-01,28787.34,30,2,No Answer,Unpaid,0.0
LN20097,AGT100,2026-03-01,9743.55,0,0,Responsive,Paid,9743.55
LN20098,AGT105,2026-03-01,27986.91,30,2,No Answer,Unpaid,0.0
LN20099,AGT103,2026-03-01,4158.98,0,0,Responsive,Paid,4158.98
LN20100,AGT119,2026-03-01,22505.12,30,2,Promise To Pay,Partial,6751.54
LN20101,AGT112,2026-03-01,5120.4,15,1,No Answer,Unpaid,0.0
LN20102,AGT104,2026-03-01,1488.71,15,1,Responsive,Paid,1488.71
LN20103,AGT145,2026-03-01,59843.54,60,3,No Answer,Unpaid,0.0
LN20104,AGT153,2026-03-01,27148.04,30,2,Promise To Pay,Partial,8144.41
LN20105,AGT121,2026-03-01,4474.0,15,1,Responsive,Paid,4474.0
LN20106,AGT118,2026-03-01,16833.94,0,0,Responsive,Paid,16833.94
LN20107,AGT129,2026-03-01,4743.64,15,1,Promise To Pay,Partial,1423.09
LN20108,AGT119,2026-03-01,14607.47,30,2,No Answer,Unpaid,0.0
LN20109,AGT158,2026-03-01,56617.87,0,0,Promise To Pay,Paid,56617.87
LN20110,AGT147,2026-03-01,4456.48,30,2,No Answer,Unpaid,0.0
LN20111,AGT142,2026-03-01,16643.2,30,2,Responsive,Paid,16643.2
LN20112,AGT139,2026-03-01,7707.94,0,0,Promise To Pay,Paid,7707.94
LN20113,AGT150,2026-03-01,9581.71,0,0,Responsive,Paid,9581.71
LN20114,AGT133,2026-03-01,12871.44,30,2,Promise To Pay,Partial,3861.43
LN20115,AGT121,2026-03-01,7212.96,15,1,Promise To Pay,Partial,2163.89
LN20116,AGT117,2026-03-01,6443.24,0,0,Responsive,Paid,6443.24
LN20117,AGT147,2026-03-01,5946.93,0,0,Responsive,Paid,5946.93
LN20118,AGT159,2026-03-01,14290.66,0,0,No Answer,Paid,14290.66
LN20119,AGT142,2026-03-01,5083.88,0,0,Responsive,Paid,5083.88
LN20120,AGT171,2026-03-01,14843.48,0,0,Promise To Pay,Paid,14843.48
LN20121,AGT120,2026-03-01,14084.29,30,2,Promise To Pay,Partial,4225.29
LN20122,AGT166,2026-03-01,17285.82,30,2,Responsive,Paid,17285.82
LN20123,AGT174,2026-03-01,12127.89,15,1,No Answer,Unpaid,0.0
LN20124,AGT163,2026-03-01,77077.64,30,2,Promise To Pay,Partial,23123.29
LN20125,AGT164,2026-03-01,1690.98,0,0,No Answer,Paid,1690.98
LN20126,AGT140,2026-03-01,8350.68,0,0,No Answer,Paid,8350.68
LN20127,AGT145,2026-03-01,6519.73,0,0,No Answer,Paid,6519.73
LN20128,AGT132,2026-03-01,11192.29,0,0,No Answer,Paid,11192.29
LN20129,AGT134,2026-03-01,27367.73,30,2,Promise To Pay,Partial,8210.32
LN20130,AGT133,2026-03-01,24971.02,0,0,Responsive,Paid,24971.02
LN20131,AGT115,2026-03-01,9739.94,15,1,No Answer,Unpaid,0.0
LN20132,AGT109,2026-03-01,10733.1,15,1,Promise To Pay,Partial,3219.93
LN20133,AGT164,2026-03-01,21137.12,30,2,Promise To Pay,Partial,6341.14
LN20134,AGT133,2026-03-01,25758.5,60,3,No Answer,Unpaid,0.0
LN20135,AGT146,2026-03-01,28212.91,90,4,Responsive,Partial,14106.45
LN20136,AGT100,2026-03-01,27076.77,30,2,Promise To Pay,Partial,8123.03
LN20137,AGT135,2026-03-01,5109.89,15,1,Promise To Pay,Partial,1532.97
LN20138,AGT156,2026-03-01,19247.33,0,0,No Answer,Paid,19247.33
LN20139,AGT109,2026-03-01,20565.52,30,2,No Answer,Unpaid,0.0
LN20140,AGT168,2026-03-01,31691.32,15,1,Promise To Pay,Partial,9507.4
LN20141,AGT162,2026-03-01,54182.43,60,3,Promise To Pay,Partial,16254.73
LN20142,AGT116,2026-03-01,4521.59,0,0,No Answer,Paid,4521.59
LN20143,AGT159,2026-03-01,11025.4,0,0,Promise To Pay,Paid,11025.4
LN20144,AGT144,2026-03-01,2452.99,0,0,No Answer,Paid,2452.99
LN20145,AGT150,2026-03-01,17107.67,30,2,Promise To Pay,Partial,5132.3
LN20146,AGT147,2026-03-01,13667.66,0,0,No Answer,Paid,13667.66
LN20147,AGT169,2026-03-01,11553.76,30,2,Promise To Pay,Partial,3466.13
LN20148,AGT109,2026-03-01,9685.56,0,0,Promise To Pay,Paid,9685.56
LN20149,AGT133,2026-03-01,15323.8,0,0,No Answer,Paid,15323.8
LN20150,AGT101,2026-03-01,6078.02,0,0,No Answer,Paid,6078.02
LN20151,AGT166,2026-03-01,3204.86,0,0,Promise To Pay,Paid,3204.86
LN20152,AGT114,2026-03-01,18933.97,30,2,Promise To Pay,Partial,5680.19
LN20153,AGT100,2026-03-01,16708.95,0,0,Promise To Pay,Paid,16708.95
LN20154,AGT115,2026-03-01,15896.09,30,2,No Answer,Unpaid,0.0
LN20155,AGT139,2026-03-01,6325.52,0,0,Promise To Pay,Paid,6325.52
LN20156,AGT109,2026-03-01,9596.58,0,0,No Answer,Paid,9596.58
LN20157,AGT104,2026-03-01,5049.37,0,0,Promise To Pay,Paid,5049.37
LN20158,AGT154,2026-03-01,11522.61,15,1,Promise To Pay,Partial,3456.78
LN20159,AGT145,2026-03-01,35823.08,30,2,No Answer,Unpaid,0.0
LN20160,AGT106,2026-03-01,37893.65,15,1,Responsive,Partial,18946.83
LN20161,AGT150,2026-03-01,18853.48,60,3,No Answer,Unpaid,0.0
LN20162,AGT119,2026-03-01,6936.75,0,0,Promise To Pay,Paid,6936.75
LN20163,AGT131,2026-03-01,12708.32,15,1,Promise To Pay,Partial,3812.5
LN20164,AGT142,2026-03-01,51357.33,90,4,Responsive,Partial,25678.67
LN20165,AGT111,2026-03-01,4280.61,30,2,No Answer,Unpaid,0.0
LN20166,AGT110,2026-03-01,6167.39,15,1,No Answer,Unpaid,0.0
LN20167,AGT164,2026-03-01,48340.04,60,3,No Answer,Unpaid,0.0
LN20168,AGT119,2026-03-01,9254.96,30,2,Responsive,Partial,4627.48
LN20169,AGT152,2026-03-01,22948.13,60,3,No Answer,Unpaid,0.0
LN20170,AGT165,2026-03-01,4447.51,0,0,Promise To Pay,Paid,4447.51
LN20171,AGT119,2026-03-01,7602.37,0,0,Promise To Pay,Paid,7602.37
LN20172,AGT153,2026-03-01,6468.41,0,0,Promise To Pay,Paid,6468.41
LN20173,AGT100,2026-03-01,2747.01,0,0,Responsive,Paid,2747.01
LN20174,AGT113,2026-03-01,42438.6,0,0,Promise To Pay,Paid,42438.6
LN20175,AGT161,2026-03-01,7543.81,15,1,Responsive,Paid,7543.81
LN20176,AGT172,2026-03-01,4287.01,15,1,Promise To Pay,Partial,1286.1
LN20177,AGT145,2026-03-01,5906.68,30,2,Promise To Pay,Partial,1772.0
LN20178,AGT120,2026-03-01,12614.52,15,1,Promise To Pay,Partial,3784.36
LN20179,AGT133,2026-03-01,35882.76,60,3,Responsive,Paid,35882.76
LN20180,AGT168,2026-03-01,22575.25,30,2,No Answer,Unpaid,0.0
LN20181,AGT164,2026-03-01,12316.35,0,0,Responsive,Paid,12316.35
LN20182,AGT115,2026-03-01,34158.49,90,4,Responsive,Partial,17079.24
LN20183,AGT146,2026-03-01,24638.23,60,3,Promise To Pay,Partial,7391.47
LN20184,AGT155,2026-03-01,1424.72,15,1,Responsive,Partial,712.36
LN20185,AGT120,2026-03-01,13587.29,0,0,No Answer,Paid,13587.29
LN20186,AGT127,2026-03-01,50238.45,30,2,No Answer,Unpaid,0.0
LN20187,AGT130,2026-03-01,9162.16,0,0,Promise To Pay,Paid,9162.16
LN20188,AGT106,2026-03-01,3918.04,0,0,No Answer,Paid,3918.04
LN20189,AGT107,2026-03-01,3243.68,0,0,Responsive,Paid,3243.68
LN20190,AGT118,2026-03-01,10436.23,0,0,Promise To Pay,Paid,10436.23
LN20191,AGT132,2026-03-01,17583.94,60,3,Promise To Pay,Partial,5275.18
LN20192,AGT125,2026-03-01,8840.46,15,1,Promise To Pay,Partial,2652.14
LN20193,AGT120,2026-03-01,2038.6,15,1,No Answer,Unpaid,0.0
LN20194,AGT171,2026-03-01,39849.44,30,2,No Answer,Unpaid,0.0
LN20195,AGT106,2026-03-01,26920.01,30,2,Promise To Pay,Partial,8076.0
LN20196,AGT145,2026-03-01,18157.51,90,4,Promise To Pay,Partial,5447.25
LN20197,AGT161,2026-03-01,4086.51,0,0,Promise To Pay,Paid,4086.51
LN20198,AGT155,2026-03-01,8801.79,30,2,Promise To Pay,Partial,2640.54
LN20199,AGT154,2026-03-01,7410.39,15,1,Responsive,Partial,3705.2
LN20200,AGT166,2026-03-01,22630.27,15,1,Responsive,Partial,11315.14
LN20201,AGT136,2026-03-01,13547.26,0,0,Promise To Pay,Paid,13547.26
LN20202,AGT109,2026-03-01,40018.72,90,4,Promise To Pay,Partial,12005.62
LN20203,AGT170,2026-03-01,2925.54,0,0,No Answer,Paid,2925.54
LN20204,AGT161,2026-03-01,4178.07,0,0,Promise To Pay,Paid,4178.07
LN20205,AGT137,2026-03-01,5879.68,0,0,No Answer,Paid,5879.68
LN20206,AGT149,2026-03-01,39517.47,60,3,No Answer,Unpaid,0.0
LN20207,AGT147,2026-03-01,28670.33,60,3,Responsive,Paid,28670.33
LN20208,AGT136,2026-03-01,10172.68,0,0,Promise To Pay,Paid,10172.68
LN20209,AGT132,2026-03-01,11682.66,0,0,Promise To Pay,Paid,11682.66
LN20210,AGT121,2026-03-01,4810.72,0,0,No Answer,Paid,4810.72
LN20211,AGT161,2026-03-01,6181.92,0,0,No Answer,Paid,6181.92
LN20212,AGT164,2026-03-01,2382.98,0,0,Responsive,Paid,2382.98
LN20213,AGT150,2026-03-01,38746.84,60,3,No Answer,Unpaid,0.0
LN20214,AGT104,2026-03-01,27711.67,30,2,Promise To Pay,Partial,8313.5
LN20215,AGT164,2026-03-01,26173.81,90,4,No Answer,Unpaid,0.0
LN20216,AGT132,2026-03-01,8055.36,0,0,Responsive,Paid,8055.36
LN20217,AGT168,2026-03-01,47583.81,30,2,Responsive,Partial,23791.9
LN20218,AGT105,2026-03-01,6860.39,15,1,Responsive,Paid,6860.39
LN20219,AGT132,2026-03-01,39140.33,30,2,No Answer,Unpaid,0.0
LN20220,AGT165,2026-03-01,19618.28,30,2,Responsive,Partial,9809.14
LN20221,AGT157,2026-03-01,4548.08,0,0,No Answer,Paid,4548.08
LN20222,AGT116,2026-03-01,21938.71,15,1,Promise To Pay,Partial,6581.61
LN20223,AGT115,2026-03-01,1701.09,15,1,No Answer,Unpaid,0.0
LN20224,AGT134,2026-03-01,30133.82,15,1,Responsive,Partial,15066.91
LN20225,AGT165,2026-03-01,10279.47,0,0,No Answer,Paid,10279.47
LN20226,AGT170,2026-03-01,6352.88,15,1,Promise To Pay,Partial,1905.86
LN20227,AGT116,2026-03-01,30689.37,60,3,Promise To Pay,Partial,9206.81
LN20228,AGT135,2026-03-01,6143.71,15,1,Responsive,Paid,6143.71
LN20229,AGT123,2026-03-01,1974.44,0,0,No Answer,Paid,1974.44
LN20230,AGT162,2026-03-01,92609.32,90,4,Promise To Pay,Partial,27782.8
LN20231,AGT139,2026-03-01,43352.17,30,2,No Answer,Unpaid,0.0
LN20232,AGT121,2026-03-01,8096.44,0,0,Responsive,Paid,8096.44
LN20233,AGT163,2026-03-01,10845.2,15,1,Promise To Pay,Partial,3253.56
LN20234,AGT131,2026-03-01,44088.02,60,3,Promise To Pay,Partial,13226.41
LN20235,AGT135,2026-03-01,36705.38,30,2,Promise To Pay,Partial,11011.61
LN20236,AGT119,2026-03-01,10595.94,30,2,Promise To Pay,Partial,3178.78
LN20237,AGT107,2026-03-01,8929.66,30,2,No Answer,Unpaid,0.0
LN20238,AGT161,2026-03-01,8187.28,30,2,No Answer,Unpaid,0.0
LN20239,AGT169,2026-03-01,18529.85,30,2,Promise To Pay,Partial,5558.95
LN20240,AGT123,2026-03-01,103717.4,60,3,Promise To Pay,Partial,31115.22
LN20241,AGT158,2026-03-01,6876.5,0,0,Promise To Pay,Paid,6876.5
LN20242,AGT153,2026-03-01,20036.73,90,4,Responsive,Partial,10018.36
LN20243,AGT173,2026-03-01,9557.08,15,1,Promise To Pay,Partial,2867.12
LN20244,AGT134,2026-03-01,3017.41,0,0,Promise To Pay,Paid,3017.41
LN20245,AGT120,2026-03-01,18937.85,30,2,No Answer,Unpaid,0.0
LN20246,AGT164,2026-03-01,18263.77,30,2,No Answer,Unpaid,0.0
LN20247,AGT152,2026-03-01,15515.46,0,0,Promise To Pay,Paid,15515.46
LN20248,AGT127,2026-03-01,17632.49,30,2,Responsive,Partial,8816.25
LN20249,AGT131,2026-03-01,12470.15,0,0,Promise To Pay,Paid,12470.15
LN20250,AGT104,2026-03-01,12160.54,15,1,Promise To Pay,Partial,3648.16
LN20251,AGT154,2026-03-01,10197.46,0,0,No Answer,Paid,10197.46
LN20252,AGT161,2026-03-01,2034.76,30,2,No Answer,Unpaid,0.0
LN20253,AGT168,2026-03-01,91945.97,30,2,Responsive,Paid,91945.97
LN20254,AGT136,2026-03-01,5676.12,0,0,Promise To Pay,Paid,5676.12
LN20255,AGT156,2026-03-01,7545.97,0,0,No Answer,Paid,7545.97
LN20256,AGT154,2026-03-01,20936.88,15,1,Responsive,Partial,10468.44
LN20257,AGT141,2026-03-01,7475.09,15,1,Responsive,Paid,7475.09
LN20258,AGT120,2026-03-01,10391.72,0,0,No Answer,Paid,10391.72
LN20259,AGT129,2026-03-01,7025.8,15,1,Promise To Pay,Partial,2107.74
LN20260,AGT139,2026-03-01,4470.06,30,2,Responsive,Partial,2235.03
LN20261,AGT129,2026-03-01,4898.86,0,0,Responsive,Paid,4898.86
LN20262,AGT146,2026-03-01,3377.86,0,0,No Answer,Paid,3377.86
LN20263,AGT135,2026-03-01,13118.71,15,1,Responsive,Paid,13118.71
LN20264,AGT155,2026-03-01,74917.24,30,2,Responsive,Paid,74917.24
LN20265,AGT154,2026-03-01,29062.09,0,0,No Answer,Paid,29062.09
LN20266,AGT105,2026-03-01,11861.95,0,0,Promise To Pay,Paid,11861.95
LN20267,AGT155,2026-03-01,51068.93,60,3,Responsive,Paid,51068.93
LN20268,AGT136,2026-03-01,5567.92,0,0,No Answer,Paid,5567.92
LN20269,AGT106,2026-03-01,5296.04,60,3,No Answer,Unpaid,0.0
LN20270,AGT154,2026-03-01,9451.34,0,0,Responsive,Paid,9451.34
LN20271,AGT140,2026-03-01,7751.66,0,0,Responsive,Paid,7751.66
LN20272,AGT125,2026-03-01,8812.67,0,0,Responsive,Paid,8812.67
LN20273,AGT128,2026-03-01,17991.42,30,2,No Answer,Unpaid,0.0
LN20274,AGT148,2026-03-01,29360.24,30,2,No Answer,Unpaid,0.0
LN20275,AGT115,2026-03-01,10570.74,0,0,Responsive,Paid,10570.74
LN20276,AGT149,2026-03-01,20913.55,30,2,Responsive,Paid,20913.55
LN20277,AGT173,2026-03-01,2651.34,0,0,No Answer,Paid,2651.34
LN20278,AGT173,2026-03-01,1755.82,0,0,No Answer,Paid,1755.82
LN20279,AGT119,2026-03-01,16536.94,15,1,Responsive,Paid,16536.94
LN20280,AGT148,2026-03-01,4502.63,15,1,Responsive,Partial,2251.32
LN20281,AGT119,2026-03-01,12944.58,0,0,No Answer,Paid,12944.58
LN20282,AGT174,2026-03-01,53298.01,90,4,No Answer,Unpaid,0.0
LN20283,AGT124,2026-03-01,7941.16,0,0,Responsive,Paid,7941.16
LN20284,AGT168,2026-03-01,34811.46,0,0,Promise To Pay,Paid,34811.46
LN20285,AGT173,2026-03-01,10755.19,0,0,Responsive,Paid,10755.19
LN20286,AGT109,2026-03-01,14025.36,15,1,No Answer,Unpaid,0.0
LN20287,AGT171,2026-03-01,27773.54,30,2,Promise To Pay,Partial,8332.06
LN20288,AGT114,2026-03-01,78200.8,30,2,No Answer,Unpaid,0.0
LN20289,AGT172,2026-03-01,43713.26,60,3,Responsive,Paid,43713.26
LN20290,AGT119,2026-03-01,7510.4,0,0,Responsive,Paid,7510.4
LN20291,AGT174,2026-03-01,10480.69,0,0,No Answer,Paid,10480.69
LN20292,AGT169,2026-03-01,9891.02,30,2,Promise To Pay,Partial,2967.31
LN20293,AGT157,2026-03-01,30862.85,15,1,No Answer,Unpaid,0.0
LN20294,AGT101,2026-03-01,10688.66,0,0,Promise To Pay,Paid,10688.66
LN20295,AGT115,2026-03-01,5883.07,15,1,Promise To Pay,Partial,1764.92
LN20296,AGT131,2026-03-01,1305.23,15,1,Promise To Pay,Partial,391.57
LN20297,AGT172,2026-03-01,11042.54,0,0,No Answer,Paid,11042.54
LN20298,AGT139,2026-03-01,17994.08,30,2,No Answer,Unpaid,0.0
LN20299,AGT124,2026-03-01,4388.75,15,1,Responsive,Paid,4388.75
LN20300,AGT144,2026-03-01,4705.19,30,2,No Answer,Unpaid,0.0
LN20301,AGT108,2026-03-01,22021.41,0,0,Responsive,Paid,22021.41
LN20302,AGT148,2026-03-01,27425.45,60,3,Promise To Pay,Partial,8227.64
LN20303,AGT137,2026-03-01,11606.9,0,0,No Answer,Paid,11606.9
LN20304,AGT148,2026-03-01,7438.77,60,3,Promise To Pay,Partial,2231.63
LN20305,AGT158,2026-03-01,30790.47,0,0,No Answer,Paid,30790.47
LN20306,AGT137,2026-03-01,12810.0,0,0,No Answer,Paid,12810.0
LN20307,AGT146,2026-03-01,108860.78,90,4,No Answer,Unpaid,0.0
LN20308,AGT145,2026-03-01,35458.77,30,2,Promise To Pay,Partial,10637.63
LN20309,AGT142,2026-03-01,8009.2,0,0,Responsive,Paid,8009.2
LN20310,AGT155,2026-03-01,13007.84,0,0,Promise To Pay,Paid,13007.84
LN20311,AGT130,2026-03-01,9306.23,0,0,No Answer,Paid,9306.23
LN20312,AGT147,2026-03-01,78699.12,90,4,Promise To Pay,Partial,23609.74
LN20313,AGT140,2026-03-01,2823.91,0,0,Responsive,Paid,2823.91
LN20314,AGT128,2026-03-01,29992.0,0,0,No Answer,Paid,29992.0
LN20315,AGT105,2026-03-01,9268.23,0,0,No Answer,Paid,9268.23
LN20316,AGT150,2026-03-01,5083.84,15,1,Promise To Pay,Partial,1525.15
LN20317,AGT104,2026-03-01,22744.19,90,4,Responsive,Partial,11372.09
LN20318,AGT168,2026-03-01,22791.55,0,0,Promise To Pay,Paid,22791.55
LN20319,AGT132,2026-03-01,4046.49,0,0,Promise To Pay,Paid,4046.49
LN20320,AGT138,2026-03-01,13893.6,0,0,Responsive,Paid,13893.6
LN20321,AGT168,2026-03-01,24419.78,30,2,Responsive,Paid,24419.78
LN20322,AGT115,2026-03-01,23896.79,30,2,Promise To Pay,Partial,7169.04
LN20323,AGT154,2026-03-01,2270.92,0,0,Responsive,Paid,2270.92
LN20324,AGT124,2026-03-01,8745.11,30,2,No Answer,Unpaid,0.0
LN20325,AGT168,2026-03-01,4927.88,30,2,No Answer,Unpaid,0.0
LN20326,AGT129,2026-03-01,7871.12,15,1,No Answer,Unpaid,0.0
LN20327,AGT111,2026-03-01,11435.15,15,1,Promise To Pay,Partial,3430.54
LN20328,AGT104,2026-03-01,4091.91,15,1,Responsive,Paid,4091.91
LN20329,AGT142,2026-03-01,41328.66,90,4,Promise To Pay,Partial,12398.6
LN20330,AGT134,2026-03-01,43613.91,30,2,Promise To Pay,Partial,13084.17
LN20331,AGT158,2026-03-01,20073.58,30,2,No Answer,Unpaid,0.0
LN20332,AGT173,2026-03-01,28442.46,30,2,Responsive,Partial,14221.23
LN20333,AGT167,2026-03-01,7914.46,0,0,No Answer,Paid,7914.46
LN20334,AGT109,2026-03-01,3646.3,15,1,No Answer,Unpaid,0.0
LN20335,AGT110,2026-03-01,16927.09,30,2,Promise To Pay,Partial,5078.13
