Loan_ID,Customer_ID,Loan_Type,Loan_Amount,EMI_Amount,Start_Date,Tenure_Months,City,Region,Income_Band,Credit_Score,Customer_Segment,Agent_ID,Report_Month,Outstanding_Amount,Days_Past_Due,Missed_EMIs,Contact_Response,Recovery_Status,Amount_Recovered,Priority_Score,Risk_Level
LN20017,CUST10017,Credit Card,159533,8862.94,2024-11-12,18,Mumbai,South,Low,692,Mass,AGT173,3/1/2026,32586.78,60,3,No Answer,Unpaid,0.0,212.58678,Low Risk
LN20018,CUST10018,Credit Card,72132,6011.0,2024-02-20,12,Mumbai,West,Medium,703,Mass,AGT104,3/1/2026,5498.07,15,1,No Answer,Partial,2749.03,75.49807,Medium Risk
LN20019,CUST10019,Credit Card,177260,29543.33,2024-02-23,6,Mumbai,East,Medium,683,Mass,AGT146,3/1/2026,172286.02,90,4,No Answer,Partial,51685.81,422.28602,High Risk
LN20020,CUST10020,Credit Card,284142,11839.25,2024-11-23,24,Mumbai,East,Medium,722,Mass,AGT140,3/1/2026,13621.05,0,0,No Answer,Paid,13621.05,43.62105,Medium Risk
LN20021,CUST10021,Personal Loan,339824,"<bound method Series.median of 21            NaN
22            NaN
29            NaN
31            NaN
34            NaN
           ...   
10011     9399.42
10014     7715.61
10019    18895.38
10020    19249.83
10024     7782.89
Name: Personal Loan, Length: 3352, dtype: float64>",2024-11-30,24,Mumbai,West,Low,643,Mass,AGT172,3/1/2026,19757.12,0,0,Promise To Pay,Paid,0.0,,Low Risk
LN20022,CUST10022,Personal Loan,133529,"<bound method Series.median of 21            NaN
22            NaN
29            NaN
31            NaN
34            NaN
           ...   
10011     9399.42
10014     7715.61
10019    18895.38
10020    19249.83
10024     7782.89
Name: Personal Loan, Length: 3352, dtype: float64>",2024-09-27,12,Mumbai,West,Medium,734,Mass,AGT150,3/1/2026,20933.3,15,1,No Answer,Unpaid,0.0,90.9333,Medium Risk
LN20023,CUST10023,Credit Card,137608,"<bound method Series.median of 0        25035.83
1         2269.75
2        19215.08
3         1991.75
4        18374.42
           ...   
10016     1559.00
10017     7751.50
10021     8111.08
10022     2316.50
10023     9050.75
Name: Credit Card, Length: 3415, dtype: float64>",2023-03-07,12,Mumbai,South,High,830,Mass,AGT164,3/1/2026,67123.49,90,4,Responsive,Partial,0.0,292.12349,High Risk
LN20024,CUST10024,Credit Card,102551,"<bound method Series.median of 0        25035.83
1         2269.75
2        19215.08
3         1991.75
4        18374.42
           ...   
10016     1559.00
10017     7751.50
10021     8111.08
10022     2316.50
10023     9050.75
Name: Credit Card, Length: 3415, dtype: float64>",2023-05-15,12,Mumbai,South,Medium,663,Premium,AGT113,3/1/2026,8001.28,0,0,No Answer,Paid,0.0,38.00128,Medium Risk
LN20025,CUST10025,Credit Card,69747,"<bound method Series.median of 0        25035.83
1         2269.75
2        19215.08
3         1991.75
4        18374.42
           ...   
10016     1559.00
10017     7751.50
10021     8111.08
10022     2316.50
10023     9050.75
Name: Credit Card, Length: 3415, dtype: float64>",2023-05-14,12,Mumbai,North,Medium,700,Mass,AGT112,3/1/2026,31609.82,90,4,Promise To Pay,Partial,0.0,,Low Risk
LN20026,CUST10026,Consumer Durable,124338,"<bound method Series.median of 26            NaN
28            NaN
32            NaN
33            NaN
42        1058.06
           ...   
10005     9885.83
10009     9420.50
10012    28247.00
10013    16155.58
10018    21576.17
Name: Consumer Durable, Length: 3258, dtype: float64>",2024-09-18,6,Mumbai,South,Medium,730,Mass,AGT145,3/1/2026,7718.64,0,0,No Answer,Paid,0.0,37.71864,Medium Risk
LN20027,CUST10027,Credit Card,30724,"<bound method Series.median of 0        25035.83
1         2269.75
2        19215.08
3         1991.75
4        18374.42
           ...   
10016     1559.00
10017     7751.50
10021     8111.08
10022     2316.50
10023     9050.75
Name: Credit Card, Length: 3415, dtype: float64>",2023-03-22,12,Mumbai,North,Low,567,Affluent,AGT154,3/1/2026,18077.4,60,3,Promise To Pay,Partial,0.0,,Low Risk
LN20028,CUST10028,Consumer Durable,52456,"<bound method Series.median of 26            NaN
28            NaN
32            NaN
33            NaN
42        1058.06
           ...   
10005     9885.83
10009     9420.50
10012    28247.00
10013    16155.58
10018    21576.17
Name: Consumer Durable, Length: 3258, dtype: float64>",2024-03-19,6,Mumbai,North,Low,618,Mass,AGT121,3/1/2026,21942.72,60,3,Responsive,Partial,0.0,176.94272,Low Risk
LN20029,CUST10029,Personal Loan,182333,"<bound method Series.median of 21            NaN
22            NaN
29            NaN
31            NaN
34            NaN
           ...   
10011     9399.42
10014     7715.61
10019    18895.38
10020    19249.83
10024     7782.89
Name: Personal Loan, Length: 3352, dtype: float64>",2023-10-21,24,Mumbai,North,Medium,708,Affluent,AGT110,3/1/2026,9265.45,0,0,Promise To Pay,Paid,0.0,,Low Risk
LN20030,CUST10030,Credit Card,49767,"<bound method Series.median of 0        25035.83
1         2269.75
2        19215.08
3         1991.75
4        18374.42
           ...   
10016     1559.00
10017     7751.50
10021     8111.08
10022     2316.50
10023     9050.75
Name: Credit Card, Length: 3415, dtype: float64>",2024-05-10,12,Mumbai,East,Low,709,Mass,AGT122,3/1/2026,12053.03,15,1,Responsive,Paid,0.0,57.05303,Medium Risk
LN20031,CUST10031,Personal Loan,441908,"<bound method Series.median of 21            NaN
22            NaN
29            NaN
31            NaN
34            NaN
           ...   
10011     9399.42
10014     7715.61
10019    18895.38
10020    19249.83
10024     7782.89
Name: Personal Loan, Length: 3352, dtype: float64>",2023-06-08,48,Mumbai,South,Low,651,Mass,AGT157,3/1/2026,14368.04,0,0,Responsive,Paid,0.0,19.36804,Medium Risk
LN20032,CUST10032,Consumer Durable,83898,"<bound method Series.median of 26            NaN
28            NaN
32            NaN
33            NaN
42        1058.06
           ...   
10005     9885.83
10009     9420.50
10012    28247.00
10013    16155.58
10018    21576.17
Name: Consumer Durable, Length: 3258, dtype: float64>",2023-09-09,18,Mumbai,West,Medium,738,Mass,AGT166,3/1/2026,50610.78,60,3,No Answer,Unpaid,0.0,230.61078,Low Risk
LN20033,CUST10033,Consumer Durable,79430,"<bound method Series.median of 26            NaN
28            NaN
32            NaN
33            NaN
42        1058.06
           ...   
10005     9885.83
10009     9420.50
10012    28247.00
10013    16155.58
10018    21576.17
Name: Consumer Durable, Length: 3258, dtype: float64>",2023-12-19,12,Mumbai,North,Low,669,Affluent,AGT141,3/1/2026,18507.22,0,0,Promise To Pay,Paid,0.0,,Low Risk
LN20034,CUST10034,Personal Loan,163236,"<bound method Series.median of 21            NaN
22            NaN
29            NaN
31            NaN
34            NaN
           ...   
10011     9399.42
10014     7715.61
10019    18895.38
10020    19249.83
10024     7782.89
Name: Personal Loan, Length: 3352, dtype: float64>",2024-09-05,24,Mumbai,North,Low,573,Affluent,AGT147,3/1/2026,9579.36,0,0,No Answer,Paid,0.0,39.57936,Medium Risk
LN20035,CUST10035,Personal Loan,402993,"<bound method Series.median of 21            NaN
22            NaN
29            NaN
31            NaN
34            NaN
           ...   
10011     9399.42
10014     7715.61
10019    18895.38
10020    19249.83
10024     7782.89
Name: Personal Loan, Length: 3352, dtype: float64>",2024-09-03,24,Mumbai,West,Low,675,Affluent,AGT140,3/1/2026,37526.77,60,3,No Answer,Unpaid,0.0,217.52677,Low Risk
LN20036,CUST10036,Credit Card,106264,"<bound method Series.median of 0        25035.83
1         2269.75
2        19215.08
3         1991.75
4        18374.42
           ...   
10016     1559.00
10017     7751.50
10021     8111.08
10022     2316.50
10023     9050.75
Name: Credit Card, Length: 3415, dtype: float64>",2024-11-22,12,Mumbai,West,Low,619,Premium,AGT142,3/1/2026,51043.87,60,3,No Answer,Unpaid,0.0,231.04387,Low Risk
LN20037,CUST10037,Personal Loan,208274,"<bound method Series.median of 21            NaN
22            NaN
29            NaN
31            NaN
34            NaN
           ...   
10011     9399.42
10014     7715.61
10019    18895.38
10020    19249.83
10024     7782.89
Name: Personal Loan, Length: 3352, dtype: float64>",2023-07-08,48,Mumbai,West,Medium,765,Affluent,AGT108,3/1/2026,44656.64,60,3,Promise To Pay,Partial,13396.99,,Low Risk
LN20038,CUST10038,Personal Loan,168366,"<bound method Series.median of 21            NaN
22            NaN
29            NaN
31            NaN
34            NaN
           ...   
10011     9399.42
10014     7715.61
10019    18895.38
10020    19249.83
10024     7782.89
Name: Personal Loan, Length: 3352, dtype: float64>",2024-01-31,24,Mumbai,South,Low,707,Affluent,AGT115,3/1/2026,14694.72,0,0,Responsive,Paid,14694.72,19.69472,Medium Risk
LN20039,CUST10039,Personal Loan,107451,"<bound method Series.median of 21            NaN
22            NaN
29            NaN
31            NaN
34            NaN
           ...   
10011     9399.42
10014     7715.61
10019    18895.38
10020    19249.83
10024     7782.89
Name: Personal Loan, Length: 3352, dtype: float64>",2024-08-04,48,Mumbai,West,Medium,667,Mass,AGT115,3/1/2026,9814.25,0,0,No Answer,Paid,9814.25,39.81425,Medium Risk
LN20040,CUST10040,Credit Card,147215,"<bound method Series.median of 0        25035.83
1         2269.75
2        19215.08
3         1991.75
4        18374.42
           ...   
10016     1559.00
10017     7751.50
10021     8111.08
10022     2316.50
10023     9050.75
Name: Credit Card, Length: 3415, dtype: float64>",2024-01-14,12,Mumbai,East,Low,649,Affluent,AGT166,3/1/2026,3613.58,0,0,No Answer,Paid,3613.58,33.61358,Medium Risk
LN20041,CUST10041,Credit Card,113480,9456.67,2023-08-22,12,Delhi NCR,South,Medium,709,Premium,AGT162,3/1/2026,14151.99,0,0,No Answer,Paid,14151.99,44.15199,Medium Risk
LN20042,CUST10042,Consumer Durable,19045,1058.06,2023-08-15,18,Delhi NCR,East,Low,558,Affluent,AGT141,3/1/2026,1367.57,0,0,No Answer,Paid,1367.57,31.36757,Medium Risk
LN20043,CUST10043,Consumer Durable,69070,3837.22,2023-10-22,18,Delhi NCR,West,Low,555,Affluent,AGT149,3/1/2026,3394.69,15,1,Responsive,Partial,1697.35,48.39469,Medium Risk
LN20044,CUST10044,Consumer Durable,55323,4610.25,2023-09-21,12,Delhi NCR,South,Medium,752,Premium,AGT143,3/1/2026,11217.86,30,2,No Answer,Unpaid,0.0,121.21786,Low Risk
LN20045,CUST10045,Credit Card,56325,4693.75,2023-10-08,12,Delhi NCR,East,High,744,Affluent,AGT146,3/1/2026,5482.09,15,1,Responsive,Paid,5482.09,50.48209,Medium Risk
LN20046,CUST10046,Personal Loan,474000,39500.0,2023-12-14,12,Delhi NCR,West,Medium,725,Affluent,AGT117,3/1/2026,32060.5,0,0,No Answer,Paid,32060.5,62.0605,Medium Risk
LN20047,CUST10047,Credit Card,66206,5517.17,2024-01-03,12,Delhi NCR,West,Medium,730,Mass,AGT151,3/1/2026,6200.13,15,1,Responsive,Partial,3100.07,51.20013,Medium Risk
LN20048,CUST10048,Credit Card,66033,5502.75,2024-11-07,12,Delhi NCR,South,Medium,704,Mass,AGT111,3/1/2026,13289.72,30,2,Promise To Pay,Partial,3986.92,,Low Risk
LN20049,CUST10049,Credit Card,95090,7924.17,2023-05-12,12,Delhi NCR,West,Medium,691,Affluent,AGT171,3/1/2026,11814.59,0,0,No Answer,Paid,11814.59,41.81459,Medium Risk
LN20050,CUST10050,Credit Card,17244,1437.0,2024-04-20,12,Delhi NCR,West,High,849,Mass,AGT123,3/1/2026,3708.89,30,2,No Answer,Unpaid,0.0,113.70889,Medium Risk
LN20051,CUST10051,Consumer Durable,103312,17218.67,2023-11-25,6,Delhi NCR,South,Medium,758,Affluent,AGT172,3/1/2026,21298.48,0,0,No Answer,Paid,21298.48,51.29848,Medium Risk
LN20052,CUST10052,Personal Loan,410116,8544.08,2023-02-18,48,Delhi NCR,East,Medium,779,Mass,AGT145,3/1/2026,11805.2,15,1,No Answer,Unpaid,0.0,81.8052,Medium Risk
LN20053,CUST10053,Consumer Durable,165360,9186.67,2023-06-23,18,Delhi NCR,South,Low,628,Mass,AGT143,3/1/2026,9510.46,15,1,Promise To Pay,Partial,2853.14,,Low Risk
LN20054,CUST10054,Consumer Durable,77988,4332.67,2023-01-13,18,Delhi NCR,West,Low,634,Mass,AGT117,3/1/2026,4758.37,15,1,No Answer,Unpaid,0.0,74.75837,Medium Risk
LN20055,CUST10055,Credit Card,136747,11395.58,2023-07-19,12,Delhi NCR,South,High,827,Premium,AGT104,3/1/2026,30290.73,30,2,Responsive,Paid,30290.73,115.29073,Medium Risk
LN20056,CUST10056,Credit Card,80369,6697.42,2024-03-01,12,Delhi NCR,South,High,757,Mass,AGT163,3/1/2026,6179.71,0,0,Responsive,Paid,6179.71,11.17971,Medium Risk
LN20057,CUST10057,Consumer Durable,138789,11565.75,2024-01-04,12,Delhi NCR,South,Low,590,Mass,AGT138,3/1/2026,12605.75,0,0,Responsive,Paid,12605.75,17.60575,Medium Risk
LN20058,CUST10058,Credit Card,116364,9697.0,2023-02-06,12,Delhi NCR,East,High,756,Mass,AGT174,3/1/2026,11931.45,15,1,No Answer,Unpaid,0.0,81.93145,Medium Risk
LN20059,CUST10059,Personal Loan,322261,6713.77,2024-11-17,48,Delhi NCR,East,High,845,Mass,AGT106,3/1/2026,7179.15,0,0,Promise To Pay,Paid,7179.15,,Low Risk
LN20060,CUST10060,Credit Card,56224,4685.33,2024-11-25,12,Delhi NCR,East,Medium,780,Affluent,AGT106,3/1/2026,18653.87,60,3,Promise To Pay,Partial,5596.16,,Low Risk
LN20061,CUST10061,Consumer Durable,121682,10140.17,2023-03-16,12,Delhi NCR,South,High,736,Mass,AGT154,3/1/2026,8658.51,0,0,No Answer,Paid,8658.51,38.65851,Medium Risk
LN20062,CUST10062,Credit Card,10874,906.17,2024-10-29,12,Delhi NCR,East,High,794,Mass,AGT104,3/1/2026,755.89,0,0,Promise To Pay,Paid,755.89,,Low Risk
LN20063,CUST10063,Credit Card,143232,11936.0,2024-08-31,12,Delhi NCR,West,Medium,735,Mass,AGT124,3/1/2026,15326.94,0,0,Responsive,Paid,15326.94,20.32694,Medium Risk
LN20064,CUST10064,Personal Loan,232836,19403.0,2024-08-15,12,Delhi NCR,South,Low,565,Affluent,AGT168,3/1/2026,45866.02,30,2,Promise To Pay,Partial,13759.81,,Low Risk
LN20065,CUST10065,Consumer Durable,72599,4033.28,2024-04-21,18,Delhi NCR,West,Medium,756,Mass,AGT169,3/1/2026,16596.43,90,4,Promise To Pay,Partial,4978.93,,Low Risk
LN20066,CUST10066,Personal Loan,105950,2943.06,2024-04-03,36,Delhi NCR,North,Low,694,Mass,AGT111,3/1/2026,3145.32,0,0,Promise To Pay,Paid,3145.32,,Low Risk
LN20067,CUST10067,Credit Card,117954,9829.5,2024-10-16,12,Delhi NCR,South,High,751,Mass,AGT129,3/1/2026,10423.54,0,0,Promise To Pay,Paid,10423.54,,Low Risk
LN20068,CUST10068,Credit Card,145332,12111.0,2023-10-26,12,Delhi NCR,South,Medium,715,Affluent,AGT135,3/1/2026,15350.61,15,1,Responsive,Paid,15350.61,60.35061,Medium Risk
LN20069,CUST10069,Credit Card,77931,6494.25,2024-11-17,12,Delhi NCR,East,Medium,719,Affluent,AGT152,3/1/2026,6696.62,15,1,Promise To Pay,Partial,2008.99,,Low Risk
LN20070,CUST10070,Consumer Durable,61044,5087.0,2024-04-24,12,Delhi NCR,West,Low,619,Mass,AGT152,3/1/2026,4632.95,15,1,Responsive,Paid,4632.95,49.63295,Medium Risk
LN20071,CUST10071,Personal Loan,421727,17571.96,2023-03-26,24,Delhi NCR,West,Medium,661,Mass,AGT127,3/1/2026,19039.2,0,0,Responsive,Paid,19039.2,24.0392,Medium Risk
LN20072,CUST10072,Credit Card,80679,6723.25,2023-11-16,12,Delhi NCR,North,Low,581,Affluent,AGT156,3/1/2026,29350.23,90,4,Promise To Pay,Partial,8805.07,,Low Risk
LN20073,CUST10073,Consumer Durable,68540,3807.78,2024-04-28,18,Delhi NCR,West,Medium,660,Mass,AGT132,3/1/2026,4302.49,0,0,No Answer,Paid,4302.49,34.30249,Medium Risk
LN20074,CUST10074,Credit Card,138729,11560.75,2023-12-12,12,Delhi NCR,South,Medium,690,Affluent,AGT170,3/1/2026,9625.43,15,1,Promise To Pay,Partial,2887.63,,Low Risk
LN20075,CUST10075,Consumer Durable,181261,30210.17,2024-02-04,6,Delhi NCR,East,Medium,695,Affluent,AGT145,3/1/2026,135249.07,90,4,Promise To Pay,Partial,40574.72,,Low Risk
LN20076,CUST10076,Personal Loan,236338,6564.94,2024-04-18,36,Delhi NCR,West,Medium,734,Affluent,AGT170,3/1/2026,11893.88,30,2,No Answer,Unpaid,0.0,121.89388,Low Risk
LN20077,CUST10077,Consumer Durable,42078,7013.0,2024-08-17,6,Delhi NCR,West,Medium,702,Mass,AGT154,3/1/2026,24554.75,60,3,Responsive,Paid,24554.75,179.55475,Low Risk
LN20078,CUST10078,Consumer Durable,69406,11567.67,2024-07-03,6,Delhi NCR,West,Low,674,Premium,AGT158,3/1/2026,15429.69,0,0,Responsive,Paid,15429.69,20.42969,Medium Risk
LN20079,CUST10079,Consumer Durable,162774,9043.0,2024-07-11,18,Delhi NCR,East,High,815,Mass,AGT139,3/1/2026,15102.29,30,2,Promise To Pay,Partial,4530.69,,Low Risk
LN20080,CUST10080,Consumer Durable,41032,3419.33,2024-08-24,12,Delhi NCR,West,Medium,772,Affluent,AGT104,3/1/2026,3845.92,0,0,No Answer,Paid,3845.92,33.84592,Medium Risk
LN20081,CUST10081,Credit Card,56382,4698.5,2024-09-11,12,Pune,West,Medium,711,Mass,AGT174,3/1/2026,6938.45,0,0,Responsive,Paid,6938.45,11.93845,Medium Risk
LN20082,CUST10082,Personal Loan,194782,4057.96,2023-04-14,48,Bangalore,South,Medium,813,Mass,AGT161,3/1/2026,5554.07,0,0,No Answer,Paid,5554.07,35.554069999999996,Medium Risk
LN20083,CUST10083,Consumer Durable,118436,19739.33,2023-10-21,6,Kolkata,East,Medium,782,Mass,AGT150,3/1/2026,19165.59,0,0,Promise To Pay,Paid,19165.59,,Low Risk
LN20084,CUST10084,Personal Loan,287094,5981.12,2024-06-17,48,Pune,West,Medium,665,Mass,AGT131,3/1/2026,27603.52,90,4,Responsive,Partial,13801.76,252.60352,High Risk
LN20085,CUST10085,Consumer Durable,91124,15187.33,2023-12-08,6,Pune,West,Medium,586,Premium,AGT162,3/1/2026,14970.86,0,0,No Answer,Paid,14970.86,44.97086,Medium Risk
LN20086,CUST10086,Personal Loan,285105,23758.75,2023-01-31,12,Bangalore,South,Medium,760,Mass,AGT163,3/1/2026,85808.05,90,4,Promise To Pay,Partial,25742.42,,Low Risk
LN20087,CUST10087,Personal Loan,268846,5600.96,2023-06-11,48,Pune,West,Medium,802,Mass,AGT164,3/1/2026,5164.45,15,1,No Answer,Unpaid,0.0,75.16445,Medium Risk
LN20088,CUST10088,Credit Card,144544,12045.33,2023-12-17,12,Delhi NCR,North,Medium,677,Mass,AGT165,3/1/2026,13472.24,0,0,Responsive,Paid,13472.24,18.47224,Medium Risk
LN20089,CUST10089,Credit Card,15788,1315.67,2024-06-06,12,Hyderabad,South,Medium,555,Mass,AGT109,3/1/2026,1092.74,15,1,Responsive,Partial,546.37,46.09274,Medium Risk
LN20090,CUST10090,Credit Card,90817,7568.08,2023-03-06,12,Bangalore,South,Medium,639,Premium,AGT132,3/1/2026,7228.63,15,1,No Answer,Unpaid,0.0,77.22863000000001,Medium Risk
LN20091,CUST10091,Personal Loan,108930,2269.38,2024-05-21,48,Hyderabad,South,Medium,795,Mass,AGT139,3/1/2026,6111.57,60,3,No Answer,Unpaid,0.0,186.11157,Low Risk
LN20092,CUST10092,Personal Loan,486932,20288.83,2023-05-15,24,Mumbai,West,Medium,651,Mass,AGT172,3/1/2026,47833.6,30,2,No Answer,Unpaid,0.0,157.8336,Low Risk
LN20093,CUST10093,Personal Loan,273779,5703.73,2023-12-16,48,Hyderabad,South,Medium,650,Mass,AGT148,3/1/2026,4580.02,0,0,Responsive,Paid,4580.02,9.580020000000001,Medium Risk
LN20094,CUST10094,Credit Card,147233,12269.42,2024-04-23,12,Hyderabad,South,Medium,664,Mass,AGT156,3/1/2026,36576.39,30,2,Responsive,Paid,36576.39,121.57639,Low Risk
LN20095,CUST10095,Consumer Durable,121372,6742.89,2023-10-06,18,Kolkata,East,Medium,839,Affluent,AGT112,3/1/2026,27681.05,60,3,Promise To Pay,Partial,8304.31,,Low Risk
LN20096,CUST10096,Consumer Durable,120827,10068.92,2024-07-08,12,Mumbai,West,Medium,733,Mass,AGT104,3/1/2026,28787.34,30,2,No Answer,Unpaid,0.0,138.78734,Low Risk
LN20097,CUST10097,Personal Loan,388702,10797.28,2024-09-21,36,Mumbai,West,Medium,725,Affluent,AGT100,3/1/2026,9743.55,0,0,Responsive,Paid,9743.55,14.743549999999999,Medium Risk
LN20098,CUST10098,Credit Card,114251,9520.92,2024-07-29,12,Delhi NCR,North,Medium,726,Mass,AGT105,3/1/2026,27986.91,30,2,No Answer,Unpaid,0.0,137.98691,Low Risk
LN20099,CUST10099,Credit Card,51180,4265.0,2024-04-10,12,Pune,West,Medium,711,Mass,AGT103,3/1/2026,4158.98,0,0,Responsive,Paid,4158.98,9.15898,Medium Risk
LN20100,CUST10100,Personal Loan,473354,13148.72,2024-01-29,36,Mumbai,West,Medium,768,Affluent,AGT119,3/1/2026,22505.12,30,2,Promise To Pay,Partial,6751.54,,Low Risk
LN20101,CUST10101,Personal Loan,132852,3690.33,2023-11-02,36,Hyderabad,South,Medium,662,Affluent,AGT112,3/1/2026,5120.4,15,1,No Answer,Unpaid,0.0,75.1204,Medium Risk
LN20102,CUST10102,Credit Card,19673,1639.42,2024-04-07,12,Mumbai,West,Medium,613,Mass,AGT104,3/1/2026,1488.71,15,1,Responsive,Paid,1488.71,46.48871,Medium Risk
LN20103,CUST10103,Consumer Durable,194475,16206.25,2024-08-01,12,Mumbai,West,Medium,609,Premium,AGT145,3/1/2026,59843.54,60,3,No Answer,Unpaid,0.0,239.84354000000002,Low Risk
LN20104,CUST10104,Consumer Durable,198640,11035.56,2023-08-28,18,Kolkata,East,Medium,657,Mass,AGT153,3/1/2026,27148.04,30,2,Promise To Pay,Partial,8144.41,,Low Risk
LN20105,CUST10105,Credit Card,43813,3651.08,2023-11-24,12,Bangalore,South,Medium,827,Mass,AGT121,3/1/2026,4474.0,15,1,Responsive,Paid,4474.0,49.474000000000004,Medium Risk
LN20106,CUST10106,Credit Card,149636,12469.67,2024-08-26,12,Mumbai,West,Medium,839,Mass,AGT118,3/1/2026,16833.94,0,0,Responsive,Paid,16833.94,21.83394,Medium Risk
LN20107,CUST10107,Personal Loan,261488,5447.67,2024-11-18,48,Kolkata,East,Medium,602,Affluent,AGT129,3/1/2026,4743.64,15,1,Promise To Pay,Partial,1423.09,,Low Risk
LN20108,CUST10108,Personal Loan,224530,6236.94,2024-06-13,36,Hyderabad,South,Medium,677,Mass,AGT119,3/1/2026,14607.47,30,2,No Answer,Unpaid,0.0,124.60747,Low Risk
LN20109,CUST10109,Personal Loan,486831,40569.25,2023-09-20,12,Bangalore,South,Medium,658,Affluent,AGT158,3/1/2026,56617.87,0,0,Promise To Pay,Paid,56617.87,,Low Risk
LN20110,CUST10110,Personal Loan,72708,1514.75,2024-01-31,48,Pune,West,Medium,736,Mass,AGT147,3/1/2026,4456.48,30,2,No Answer,Unpaid,0.0,114.45648,Medium Risk
LN20111,CUST10111,Consumer Durable,73729,6144.08,2023-04-06,12,Delhi NCR,North,Medium,670,Affluent,AGT142,3/1/2026,16643.2,30,2,Responsive,Paid,16643.2,101.64320000000001,Medium Risk
LN20112,CUST10112,Credit Card,81765,6813.75,2023-05-27,12,Delhi NCR,North,Medium,564,Mass,AGT139,3/1/2026,7707.94,0,0,Promise To Pay,Paid,7707.94,,Low Risk
LN20113,CUST10113,Credit Card,138535,11544.58,2024-08-16,12,Pune,West,Medium,753,Mass,AGT150,3/1/2026,9581.71,0,0,Responsive,Paid,9581.71,14.58171,Medium Risk
LN20114,CUST10114,Consumer Durable,59159,4929.92,2023-04-16,12,Bangalore,South,Medium,609,Mass,AGT133,3/1/2026,12871.44,30,2,Promise To Pay,Partial,3861.43,,Low Risk
